epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,3317.4,0.49952,0.40307,1.38687,0.8094,0.77526,0.81881,0.69471,0.63225,0.71791,1.5057,0.0001387,0.0001387,0.0001387
89,3356.14,0.49768,0.39794,1.37663,0.79071,0.77866,0.81515,0.6884,0.63246,0.72107,1.501,0.0001288,0.0001288,0.0001288
90,3395.69,0.49351,0.40167,1.36837,0.80715,0.7693,0.81381,0.68586,0.63619,0.73381,1.49168,0.0001189,0.0001189,0.0001189
91,3439.08,0.44405,0.34325,1.36509,0.79233,0.76409,0.8042,0.68081,0.63497,0.72684,1.53895,0.000109,0.000109,0.000109
92,3477.3,0.43663,0.3441,1.37414,0.79538,0.77955,0.80942,0.69088,0.62414,0.73399,1.5211,9.91E-05,9.91E-05,9.91E-05
93,3515.21,0.43686,0.33864,1.368,0.79029,0.78486,0.80347,0.68029,0.62243,0.73306,1.52994,8.92E-05,8.92E-05,8.92E-05
94,3553.07,0.43053,0.32822,1.37415,0.78359,0.78487,0.80957,0.68998,0.61474,0.72321,1.50973,7.93E-05,7.93E-05,7.93E-05
95,3589.43,0.43142,0.33516,1.3805,0.79421,0.75505,0.80994,0.68971,0.61744,0.71818,1.53347,6.94E-05,6.94E-05,6.94E-05
96,3626.83,0.42406,0.32465,1.37524,0.77818,0.7802,0.81358,0.69306,0.61804,0.72244,1.51387,5.95E-05,5.95E-05,5.95E-05
97,3664.63,0.42669,0.32701,1.35428,0.78805,0.76382,0.80925,0.68847,0.6151,0.71831,1.52271,4.96E-05,4.96E-05,4.96E-05
98,3701.44,0.41735,0.32271,1.3469,0.78746,0.77344,0.81288,0.69177,0.61311,0.70731,1.51831,3.97E-05,3.97E-05,3.97E-05
99,3739.11,0.42309,0.32641,1.36887,0.76648,0.78806,0.81812,0.69567,0.61142,0.7018,1.51512,2.98E-05,2.98E-05,2.98E-05
100,3777.49,0.41471,0.32026,1.37789,0.75751,0.80138,0.81763,0.69575,0.61294,0.69813,1.51235,1.99E-05,1.99E-05,1.99E-05
